Result of replaying M2.tpn on Process 13 (filtered on event attributes)

Index,Case IDs,NumOfCases,IsReliable,"Raw Fitness Cost","Queued States","Num. States","Calculation Time (ms)","Move-Log Fitness","Trace Fitness","Trace Length","Move-Model Fitness",Match
1,"instance_185",1,Yes,"27,00","9.937,00","9.603,00","56,00","0,63","0,60","52,00","0,80",[M-REAL]A|[M-REAL]C|[L]S+complete|[L]R+complete|[L]R+complete|[L/M]E|[M-REAL]G|[L/M]K|[L/M]Q|[L/M]L|[L/M]J|[L/M]R|[L]R+complete|[L]R+complete|[L]Q+complete|[L/M]S|[L]H+complete|[L]S+complete|[L/M]I|[M-REAL]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L]G+complete|[L]Q+complete|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L]A+complete|[L]Q+complete|[L]C+complete|[L/M]S|[L/M]Q|[M-REAL]R|[L]Q+complete|[L/M]S|[L]S+complete|[L/M]Q|[L/M]R|[L]R+complete|[L/M]S|[L]M+complete|[L/M]Q|[L/M]P|[L/M]R|[M-REAL]M|[M-REAL]t17t5\n\n$invisible$|[M-REAL]H|[L]Q+complete|[L]S+complete|[L/M]F|[L/M]D|[L/M]B
2,"instance_249",1,Yes,"22,00","8.496,00","7.866,00","53,00","0,72","0,62","43,00","0,76",[L/M]A|[M-REAL]C|[M-REAL]E|[M-REAL]Q|[L/M]R|[L/M]S|[L/M]G|[L/M]I|[L/M]L|[L/M]K|[L]S+complete|[L/M]Q|[L/M]J|[L/M]N|[L/M]M|[L]E+complete|[L]Q+complete|[L/M]R|[L/M]S|[L/M]Q|[M-REAL]R|[L]Q+complete|[L]C+complete|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]S|[L]R+complete|[L/M]Q|[L/M]R|[L/M]S|[M-REAL]Q|[L/M]R|[L/M]S|[L]S+complete|[L]F+complete|[L/M]Q|[L/M]R|[M-REAL]S|[L/M]Q|[L/M]R|[L]B+complete|[L/M]S|[L]R+complete|[L/M]Q|[L]Q+complete|[L/M]R|[L/M]H|[M-REAL]t17t5\n\n$invisible$|[M-REAL]F|[L/M]D|[M-REAL]B|[L]S+complete
3,"instance_284",1,Yes,"17,00","7.805,00","7.507,00","47,00","0,80","0,69","40,00","0,78",[L]S+complete|[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L/M]K|[L/M]Q|[M-REAL]L|[L]B+complete|[L/M]N|[L/M]R|[L/M]I|[M-REAL]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[M-REAL]R|[L/M]S|[L]S+complete|[L/M]Q|[L]D+complete|[L/M]R|[M-REAL]S|[L]R+complete|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[L]H+complete|[L]Q+complete|[L/M]M|[L/M]S|[L/M]J|[M-REAL]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]t17t5\n\n$invisible$|[M-REAL]H|[L/M]F|[M-REAL]D|[M-REAL]B|[L]L+complete
4,"instance_130",1,Yes,"19,00","6.961,00","6.740,00","38,00","0,74","0,61","34,00","0,71",[L/M]A|[L/M]C|[L/M]E|[L/M]L|[L/M]Q|[L/M]R|[L/M]O|[M-REAL]S|[L/M]Q|[M-REAL]G|[L/M]J|[L/M]R|[L/M]M|[L/M]S|[M-REAL]Q|[L/M]R|[L]H+complete|[L]R+complete|[L]R+complete|[L/M]S|[L/M]Q|[L]Q+complete|[L/M]R|[L/M]S|[L/M]I|[M-REAL]Q|[L]S+complete|[L]B+complete|[L/M]R|[L/M]S|[L/M]Q|[M-REAL]R|[L/M]S|[L/M]Q|[M-REAL]K|[M-REAL]H|[M-REAL]R|[M-REAL]t17t5\n\n$invisible$|[L]G+complete|[L/M]F|[L/M]D|[M-REAL]B|[L]K+complete|[L]Q+complete
5,"instance_370",1,Yes,"20,00","7.013,00","6.885,00","69,00","0,68","0,59","34,00","0,72",[L/M]A|[L/M]C|[L/M]E|[L/M]L|[M-REAL]Q|[L/M]R|[L/M]S|[L]H+complete|[L/M]Q|[M-REAL]G|[L]M+complete|[L/M]J|[L/M]I|[M-REAL]R|[L]G+complete|[L/M]S|[L]B+complete|[L/M]Q|[L]Q+complete|[L/M]R|[L/M]S|[L/M]Q|[L]S+complete|[L/M]R|[M-REAL]S|[L/M]Q|[L]Q+complete|[L/M]R|[L/M]S|[L/M]O|[L]R+complete|[L]R+complete|[L/M]K|[L/M]Q|[L/M]R|[M-REAL]M|[M-REAL]t17t5\n\n$invisible$|[M-REAL]H|[L]D+complete|[L/M]F|[M-REAL]D|[M-REAL]B|[L]S+complete
6,"instance_183",1,Yes,"21,00","7.082,00","6.758,00","32,00","0,62","0,57","34,00","0,72",[L]P+complete|[L/M]A|[L/M]C|[M-REAL]E|[L/M]Q|[L/M]G|[L]Q+complete|[L]S+complete|[L/M]L|[L/M]R|[L/M]I|[M-REAL]N|[L/M]M|[L]H+complete|[L]F+complete|[L]R+complete|[L]R+complete|[L/M]J|[M-REAL]S|[L/M]Q|[L/M]R|[L/M]S|[L]E+complete|[L]S+complete|[L]R+complete|[L/M]K|[L/M]Q|[L]S+complete|[L/M]R|[M-REAL]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[M-REAL]H|[M-REAL]R|[M-REAL]t17t5\n\n$invisible$|[M-REAL]F|[L]Q+complete|[L]S+complete|[L/M]D|[L/M]B
7,"instance_211",1,Yes,"15,00","6.512,00","5.948,00","47,00","0,79","0,69","34,00","0,77",[L/M]A|[L/M]C|[M-REAL]E|[L]S+complete|[L]F+complete|[L/M]G|[L/M]L|[L/M]Q|[L/M]J|[L/M]R|[L/M]K|[L/M]I|[L/M]N|[L]R+complete|[L/M]M|[L/M]S|[L]S+complete|[L/M]H|[L/M]Q|[M-REAL]R|[L/M]S|[L]S+complete|[L/M]Q|[L/M]R|[M-REAL]S|[L/M]Q|[L/M]R|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]S|[L/M]Q|[L/M]R|[M-REAL]S|[L/M]Q|[L]B+complete|[L/M]R|[M-REAL]t17t5\n\n$invisible$|[M-REAL]F|[L/M]D|[M-REAL]B|[L]E+complete
8,"instance_146",1,Yes,"22,00","6.093,00","5.910,00","31,00","0,68","0,49","28,00","0,59",[M-REAL]A|[M-REAL]C|[M-REAL]E|[L/M]Q|[L/M]R|[L]C+complete|[L/M]S|[M-REAL]L|[L/M]O|[L/M]G|[L]B+complete|[L/M]J|[L/M]Q|[L]Q+complete|[L/M]M|[M-REAL]R|[L]A+complete|[L]H+complete|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]S|[L]D+complete|[L/M]Q|[L]E+complete|[L/M]K|[L/M]R|[L/M]S|[M-REAL]Q|[L/M]R|[L/M]S|[L]F+complete|[L/M]I|[M-REAL]Q|[L/M]R|[M-REAL]t17t5\n\n$invisible$|[M-REAL]H|[M-REAL]F|[M-REAL]D|[M-REAL]B|[L]L+complete
9,"instance_449",1,Yes,"17,00","6.707,00","6.485,00","54,00","0,68","0,65","34,00","0,79",[L/M]A|[L/M]C|[L/M]E|[L/M]Q|[L/M]G|[L/M]R|[L]B+complete|[L/M]S|[L/M]K|[L]S+complete|[L/M]I|[L/M]Q|[M-REAL]R|[L]Q+complete|[L]H+complete|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]L|[L]R+complete|[L]M+complete|[L]Q+complete|[L/M]P|[L/M]J|[L/M]S|[L/M]Q|[L]S+complete|[L/M]R|[L]R+complete|[L]R+complete|[L/M]S|[L/M]Q|[L/M]R|[M-REAL]H|[M-REAL]M|[M-REAL]t17t5\n\n$invisible$|[L/M]F|[L/M]D|[M-REAL]B|[L]L+complete
10,"instance_11",1,Yes,"20,00","6.358,00","6.076,00","38,00","0,65","0,57","31,00","0,69",[M-REAL]A|[L/M]C|[M-REAL]E|[L]M+complete|[L]R+complete|[L/M]G|[L/M]Q|[L]S+complete|[L/M]K|[L]D+complete|[L/M]I|[L/M]R|[L]P+complete|[L/M]J|[M-REAL]S|[L/M]Q|[L/M]R|[L/M]H|[L]R+complete|[L/M]S|[L/M]Q|[M-REAL]R|[L]Q+complete|[L]E+complete|[L/M]S|[L/M]Q|[L]A+complete|[L/M]L|[L/M]R|[L/M]S|[L/M]Q|[L]F+complete|[L]S+complete|[L/M]R|[M-REAL]N|[M-REAL]M|[M-REAL]t17t5\n\n$invisible$|[M-REAL]F|[M-REAL]D|[L/M]B
